Overall Rank,State,Total Score,Socioeconomic Diversity ,Cultural Diversity ,Economic Diversity ,Household Diversity ,Religious Diversity ,Political Diversity 
1,California,70.64,3,1,11,5,32,8
2,Texas,69.97,13,4,13,14,6,21
3,Hawaii,69.73,16,3,4,11,34,16
4,New Jersey,69.27,5,7,40,26,19,4
5,New York,69.14,8,8,37,6,21,6
6,New Mexico,69.1,40,6,5,4,22,36
7,Maryland,68.64,2,10,25,10,30,19
8,Florida,68.57,28,5,33,7,38,5
9,Nevada,68.43,29,2,43,2,45,11
10,Arizona,68.03,23,9,26,8,41,17
11,Illinois,67.96,12,12,38,23,7,2
12,Virginia,67.78,4,14,16,33,25,24
13,Georgia,67.67,19,13,14,9,16,35
14,Connecticut,67.12,6,15,45,28,27,7
15,Alaska,66.89,22,11,1,31,44,26
16,Delaware,66.44,14,17,41,18,35,29
17,Washington,66.41,10,16,15,35,43,9
18,Colorado,66.33,7,18,27,36,40,22
19,Massachusetts,66.26,1,19,50,23,33,2
20,North Carolina,66.21,26,21,28,22,26,32
21,Oklahoma,65.87,44,22,6,17,18,31
22,Rhode Island,65.6,11,20,49,11,36,1
23,South Carolina,65.3,35,23,21,13,14,41
24,Louisiana,65.27,46,25,12,3,3,44
25,Kansas,65.09,21,26,23,39,11,26
26,Nebraska,64.6,25,33,24,41,4,33
27,Oregon,64.55,20,24,20,29,48,23
28,Minnesota,64.39,15,36,44,44,5,15
29,Pennsylvania,64.29,24,32,47,32,10,13
30,Mississippi,64.24,49,27,10,1,14,47
31,Alabama,64.23,45,30,18,15,12,47
32,Tennessee,64.19,41,31,22,20,20,43
33,Arkansas,63.79,48,28,17,19,24,45
34,Idaho,63.42,43,35,7,48,13,45
35,South Dakota,63.4,39,42,8,43,2,50
36,Missouri,63.17,31,39,35,30,17,18
37,Michigan,63.13,32,34,48,25,31,10
38,North Dakota,63.11,27,43,9,49,1,38
39,Wisconsin,63.08,30,40,39,37,9,30
40,Indiana,62.86,38,37,46,27,29,20
41,Ohio,62.62,36,41,42,16,28,28
42,Iowa,62.62,33,45,31,45,8,11
43,Utah,62.36,18,29,30,50,49,49
44,Wyoming,62.24,37,38,2,47,37,40
45,Kentucky,61.82,47,46,29,21,23,39
46,Montana,61.71,42,44,3,46,39,42
47,New Hampshire,60.84,9,47,36,42,46,13
48,Vermont,60.42,17,48,34,40,47,34
49,Maine,58.91,34,49,32,38,50,25
50,West Virginia,58.59,50,50,19,34,42,37
